symbol,style,weight
SONY,Large Blend,1.000000
SFGYY,Medium Value,1.000000
SOUHY,Large Value,1.000000
SPXSY,Medium Blend,1.000000
SCBFY,Large Blend,1.000000
STM,Large Growth,1.000000
SEOAY,Medium Blend,1.000000
SAUHY,Large Growth,1.000000
FUJHY,Large Value,1.000000
SUBCY,Medium Blend,1.000000
SSUMY,Large Value,1.000000
SMTOY,Large Blend,1.000000
SMFG,Large Blend,1.000000
SUTNY,Large Blend,1.000000
SUHJY,Large Blend,1.000000
SNMCY,Large Value,1.000000
SVNLY,Large Value,1.000000
SZKMY,Large Value,1.000000
SWDBY,Large Value,1.000000
SSREY,Large Value,1.000000
SZLMY,Large Blend,1.000000
SYIEY,Medium Blend,1.000000
SSMXY,Medium Blend,1.000000
TTDKY,Large Blend,1.000000
TGSGY,Small Blend,1.000000
TAK,Large Blend,1.000000
TTNDY,Large Blend,1.000000
TLTZY,Medium Blend,1.000000
TLSNY,Medium Blend,1.000000
TLX,Medium Growth,1.000000
TEZNY,Large Blend,1.000000
TRUMY,Large Blend,1.000000
TSCDY,Large Blend,1.000000
TEVA,Large Blend,1.000000
THLLY,Large Growth,1.000000
TKOMY,Large Value,1.000000
TOELY,Large Growth,1.000000
TRYIY,Medium Blend,1.000000
TOTDY,Medium Growth,1.000000
TM,Large Value,1.000000
TMICY,Medium Blend,1.000000
UNCRY,Large Blend,1.000000
UL,Large Blend,1.000000
UOVEY,Large Value,1.000000
UUGRY,Medium Blend,1.000000
VACNY,Large Growth,1.000000
VEOEY,Large Value,1.000000
VWDRY,Large Growth,1.000000
VOD,Large Blend,1.000000
VLVLY,Large Blend,1.000000
VONOY,Large Value,1.000000
WRTBY,Large Growth,1.000000
WEGRY,Medium Growth,1.000000
WFAFY,Large Growth,1.000000
WJRYY,Medium Value,1.000000
WLMIY,Large Value,1.000000
WTKWY,Medium Blend,1.000000
WDS,Large Value,1.000000
YAHOY,Large Value,1.000000
ZURVY,Large Blend,1.000000
