symbol,sector,weight
PPRUY,Consumer Discretionary,1.000000
KRYAY,Consumer Staples,1.000000
KGSPY,Industrials,1.000000
KXIAY,Information Technology,1.000000
KNBWY,Consumer Staples,1.000000
KMTUY,Industrials,1.000000
ADRNY,Consumer Staples,1.000000
PHG,Health Care,1.000000
KUBTY,Industrials,1.000000
KHNGY,Industrials,1.000000
KYOAY,Information Technology,1.000000
LRLCY,Consumer Staples,1.000000
LVMUY,Consumer Discretionary,1.000000
LSRCY,Information Technology,1.000000
LGGNY,Financials,1.000000
LGRDY,Industrials,1.000000
FINMY,Industrials,1.000000
LYG,Financials,1.000000
LSEGY,Financials,1.000000
LZAGY,Health Care,1.000000
MSADY,Financials,1.000000
MTHRY,Health Care,1.000000
MQBKY,Financials,1.000000
MKTAY,Industrials,1.000000
MAKSY,Consumer Staples,1.000000
MARUY,Industrials,1.000000
MKKGY,Health Care,1.000000
OUKPY,Industrials,1.000000
MGDDY,Consumer Discretionary,1.000000
MTSUY,Industrials,1.000000
MIELY,Industrials,1.000000
MITEY,Real Estate,1.000000
MHVIY,Industrials,1.000000
MUFG,Financials,1.000000
MITSY,Industrials,1.000000
MTSFY,Real Estate,1.000000
MFG,Financials,1.000000
MTUAY,Industrials,1.000000
MURGY,Financials,1.000000
MRAAY,Information Technology,1.000000
NNGRY,Financials,1.000000
NABZY,Financials,1.000000
NGG,Utilities,1.000000
NWG,Financials,1.000000
NTOIY,Energy,1.000000
NSRGY,Consumer Staples,1.000000
NTDOY,Communication Services,1.000000
NPSCY,Materials,1.000000
NTTYY,Communication Services,1.000000
NPNYY,Industrials,1.000000
NDEKY,Materials,1.000000
NOK,Information Technology,1.000000
NMR,Financials,1.000000
NRILY,Information Technology,1.000000
NRDBY,Financials,1.000000
NHYDY,Materials,1.000000
NVS,Health Care,1.000000
NVO,Health Care,1.000000
NVZMY,Materials,1.000000
OLYMY,Health Care,1.000000
ORANY,Communication Services,1.000000
OLCLY,Consumer Discretionary,1.000000
IX,Financials,1.000000
ORKLY,Consumer Staples,1.000000
OTSKY,Health Care,1.000000
OVCHY,Financials,1.000000
PCRHY,Consumer Discretionary,1.000000
PNDRY,Consumer Discretionary,1.000000
PSO,Consumer Discretionary,1.000000
PRNDY,Consumer Staples,1.000000
PROSY,Consumer Discretionary,1.000000
PRYMY,Industrials,1.000000
PUBGY,Communication Services,1.000000
QBIEY,Financials,1.000000
RWEOY,Utilities,1.000000
RBGLY,Consumer Staples,1.000000
RCRUY,Industrials,1.000000
RELX,Industrials,1.000000
RNECY,Information Technology,1.000000
RTO,Industrials,1.000000
REPYY,Energy,1.000000
RSHGY,Financials,1.000000
RIO,Materials,1.000000
RHHBY,Health Care,1.000000
RYCEY,Industrials,1.000000
SHEL,Energy,1.000000
SKFRY,Industrials,1.000000
SMCAY,Industrials,1.000000
SSEZY,Utilities,1.000000
SAABY,Industrials,1.000000
SAFRY,Industrials,1.000000
